"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",0.13,0.02,0.041,0.099,0.072,-0.002,0.081,0.063,-0.15,0.076,0.083,-0.0039,0.091,0.084,0.067,0.13,0.079,-0.11,-0.088,0.051,0.034,0.12,0.14,0.031,0.097,0.05,-0.029,0.1,0.16,0.096,-0.069,0.12,0.073,0.11,0.0073,0.1,0.17,0.095,-0.12,-0.049,-0.092,0.1,0.053,0.06,-0.013,0.049,0.045,0.019,0.058,0.097,0.043,0.063,0.074,0.15,0.15,0.055,0.093,0.093,0.12,-0.0015,0.094,0.047,-0.099,0.043,0.11,0.16,0.064,-0.12,0.078,0.019,0.063,0.018,-0.04,-0.098,0.11,0.18,0.088,0.094,0.12,0.032,0.082,0.066,0.033,0.11,-0.019,-0.052,0.077,0.048,0.058,0.038,0.029,-0.011,0.13,0.068,0.025,0.14,0.11,0.0044,0.038,0.11
"2","^AXJO",0.14,0.025,0.038,0.094,0.077,0.004,0.079,0.07,-0.16,0.076,0.087,-0.0019,0.098,0.085,0.066,0.12,0.086,-0.11,-0.088,0.052,0.034,0.12,0.14,0.03,0.1,0.054,-0.022,0.11,0.16,0.091,-0.063,0.11,0.065,0.11,0.0099,0.11,0.18,0.092,-0.12,-0.057,-0.097,0.11,0.053,0.052,-0.018,0.052,0.054,0.022,0.056,0.094,0.043,0.061,0.078,0.15,0.14,0.054,0.098,0.09,0.13,0.0038,0.098,0.055,-0.096,0.046,0.11,0.15,0.07,-0.12,0.083,0.024,0.067,0.018,-0.031,-0.1,0.11,0.18,0.088,0.088,0.13,0.034,0.081,0.07,0.04,0.12,-0.02,-0.059,0.074,0.053,0.064,0.042,0.027,-0.013,0.14,0.06,0.023,0.15,0.12,0.0042,0.037,0.11
"3","^BFX",0.14,0.15,0.068,0.18,0.089,0.15,0.15,0.13,-0.023,0.13,0.22,0.18,0.08,0.21,0.18,0.15,0.11,0.037,0.054,0.11,0.05,0.15,0.12,0.12,0.11,0.11,0.085,0.17,0.19,0.18,0.018,0.17,0.12,0.12,0.16,0.14,0.22,0.042,0.038,0.024,0.056,0.11,0.13,0.011,0.074,0.11,0.11,0.078,0.058,0.1,0.16,0.16,0.12,0.22,0.21,0.13,0.14,0.14,0.11,0.19,0.18,0.089,0.043,0.086,0.17,0.13,0.14,0.048,0.1,0.12,0.13,0.12,-0.012,0.028,0.15,0.18,0.22,0.096,0.12,0.13,0.16,0.089,-0.01,0.096,0.014,0.00064,0.19,0.15,0.12,0.2,0.17,0.21,0.16,0.17,0.13,0.093,0.18,0.067,0.14,0.12
"4","^BSESN",0.023,0.039,0.051,-0.015,-0.0074,0.1,0.066,0.11,-0.046,0.039,0.098,-0.004,0.067,0.089,0.068,0.047,0.0085,-0.035,-0.073,-0.018,0.038,-0.011,-0.016,0.012,0.054,0.044,-0.03,0.046,0.093,0.076,-0.094,0.076,0.042,0.041,0.055,0.058,0.11,-0.027,-0.11,-0.034,-0.075,0.0044,0.12,0.075,0.1,-0.048,-0.037,0.043,0.011,0.013,0.052,0.042,0.027,0.11,0.093,-0.029,0.047,0.1,-0.04,-0.018,0.031,0.05,-0.084,0.035,0.081,0.04,0.0062,-0.11,-0.042,-0.032,-0.041,0.026,-0.053,-0.062,0.054,0.062,0.083,0.082,0.01,0.066,0.09,0.031,0.03,-0.071,0.13,0.065,0.1,0.043,0.0043,0.14,0.017,0.018,-0.014,-0.038,-0.0027,0.058,0.083,0.077,0.079,0.066
"5","^BUK100P",0.11,0.12,0.068,0.15,0.11,0.16,0.16,0.12,-0.11,0.096,0.14,0.085,0.073,0.13,0.15,0.065,0.065,0.013,-0.046,0.083,-0.011,0.082,0.087,0.052,0.077,0.14,0.1,0.13,0.16,0.22,-0.069,0.15,0.091,0.076,0.12,0.1,0.18,0.014,-0.079,0.044,0.028,0.089,0.096,-0.077,-0.0012,0.085,0.089,0.11,0.069,0.017,0.17,0.14,0.021,0.17,0.19,0.086,0.079,0.13,0.093,0.18,0.12,0.012,-0.061,0.082,0.12,0.11,0.086,-0.029,0.095,0.047,0.1,0.022,0.003,0.0017,0.13,0.083,0.11,0.062,0.098,0.11,0.14,0.061,0.016,0.056,0.015,0.023,0.14,0.098,0.1,0.26,0.14,0.24,0.065,0.1,0.1,0.12,0.11,0.039,0.1,0.065
"6","^BVSP",0.11,0.12,0.15,0.084,0.098,0.13,0.11,0.074,0.064,0.11,0.16,0.1,0.16,0.11,0.19,0.076,0.044,0.1,-0.11,0.074,0.091,0.11,0.066,0.1,0.19,0.12,0.034,0.12,0.088,0.092,-0.038,0.18,0.14,0.14,0.094,0.088,0.16,0.075,0.1,0.058,0.064,0.092,0.19,0.024,0.091,0.031,0.066,0.16,0.11,0.068,0.12,0.088,0.081,0.16,0.084,0.09,0.094,0.09,0.075,0.13,0.13,0.11,0.1,0.17,0.12,0.11,0.11,0.075,0.064,0.052,0.082,0.13,0.12,0.091,0.071,0.1,0.078,0.071,0.07,0.11,0.13,0.11,0.041,0.062,-0.0048,0.013,0.15,0.099,0.077,0.12,0.0057,0.088,0.13,0.052,0.14,0.099,0.14,0.097,0.16,0.12
"7","^DJI",0.066,0.2,0.14,0.088,0.09,0.1,0.091,0.1,0.071,0.15,0.19,0.15,0.18,0.16,0.22,0.13,0.076,0.085,0.00086,0.14,0.15,0.12,0.1,0.13,0.12,0.089,0.033,0.13,0.19,0.18,-0.041,0.17,0.071,0.14,0.15,0.18,0.2,0.078,0.11,0.13,0.16,0.14,0.18,-0.0063,0.15,0.055,0.029,0.16,0.14,0.097,0.14,0.19,0.092,0.2,0.25,0.15,0.11,0.16,0.12,0.2,0.17,0.1,0.051,0.095,0.19,0.044,0.16,0.14,0.054,0.097,0.056,0.15,0.056,0.15,0.11,0.17,0.15,0.097,0.077,0.2,0.19,0.085,-0.099,0.074,-0.049,-0.039,0.23,0.16,0.13,0.14,0.15,0.17,0.13,0.11,0.15,0.083,0.19,0.18,0.2,0.13
"8","^FCHI",0.16,0.16,0.11,0.19,0.14,0.13,0.21,0.13,-0.015,0.17,0.23,0.17,0.15,0.22,0.2,0.14,0.12,0.047,0.066,0.14,0.01,0.17,0.14,0.12,0.13,0.15,0.11,0.17,0.19,0.22,-0.019,0.22,0.17,0.17,0.15,0.18,0.24,0.075,0.038,0.049,0.083,0.16,0.19,0.011,0.14,0.13,0.099,0.12,0.11,0.089,0.16,0.18,0.11,0.23,0.26,0.18,0.17,0.18,0.13,0.2,0.21,0.064,0.0033,0.077,0.19,0.13,0.16,0.053,0.14,0.11,0.14,0.11,0.021,0.067,0.17,0.2,0.2,0.095,0.15,0.21,0.24,0.14,0.013,0.12,0.0077,0.025,0.22,0.17,0.16,0.25,0.15,0.16,0.2,0.15,0.19,0.11,0.22,0.086,0.21,0.18
"9","^FTSE",0.14,0.18,0.098,0.19,0.095,0.15,0.21,0.15,-0.08,0.16,0.22,0.095,0.11,0.17,0.17,0.13,0.071,0.008,-0.033,0.12,0.0037,0.13,0.1,0.081,0.1,0.18,0.1,0.16,0.22,0.22,-0.062,0.19,0.15,0.16,0.12,0.2,0.23,0.072,-0.058,0.033,0.023,0.13,0.13,-0.0068,0.052,0.11,0.082,0.13,0.096,0.032,0.18,0.19,0.066,0.22,0.21,0.13,0.13,0.17,0.12,0.22,0.18,0.064,-0.058,0.072,0.21,0.14,0.15,-0.029,0.11,0.064,0.099,0.051,0.011,7e-04,0.14,0.15,0.15,0.073,0.12,0.12,0.15,0.092,0.045,0.1,0.028,0.044,0.2,0.12,0.11,0.29,0.17,0.26,0.14,0.14,0.14,0.1,0.16,0.088,0.16,0.11
"10","^GDAXI",0.2,0.2,0.14,0.18,0.15,0.19,0.23,0.18,-0.059,0.23,0.28,0.16,0.18,0.28,0.22,0.13,0.14,0.0074,0.027,0.2,0.056,0.2,0.18,0.15,0.18,0.12,0.086,0.19,0.22,0.2,0.0069,0.25,0.18,0.19,0.18,0.19,0.26,0.091,-0.039,0.038,0.034,0.2,0.23,0.041,0.16,0.12,0.098,0.15,0.092,0.084,0.18,0.2,0.09,0.23,0.24,0.18,0.16,0.21,0.16,0.27,0.25,0.12,-0.055,0.098,0.25,0.17,0.18,-0.012,0.1,0.092,0.12,0.16,-0.022,0.015,0.2,0.22,0.2,0.093,0.19,0.27,0.3,0.2,-0.032,0.12,0.0077,0.033,0.26,0.18,0.15,0.26,0.23,0.21,0.22,0.18,0.21,0.15,0.25,0.11,0.24,0.2
"11","^GSPC",0.11,0.25,0.2,0.13,0.13,0.11,0.16,0.17,0.041,0.19,0.24,0.21,0.23,0.21,0.28,0.19,0.072,0.089,0.019,0.17,0.18,0.16,0.15,0.17,0.17,0.096,0.058,0.21,0.23,0.25,-0.03,0.25,0.14,0.2,0.21,0.22,0.26,0.12,0.092,0.099,0.15,0.17,0.25,-0.014,0.18,0.038,0.015,0.22,0.18,0.14,0.17,0.23,0.16,0.24,0.26,0.19,0.15,0.22,0.15,0.24,0.24,0.16,0.017,0.12,0.24,0.064,0.21,0.12,0.058,0.13,0.054,0.19,0.056,0.14,0.13,0.23,0.2,0.15,0.11,0.21,0.21,0.16,-0.15,0.13,-0.11,-0.063,0.28,0.22,0.11,0.21,0.18,0.18,0.21,0.17,0.21,0.11,0.25,0.24,0.25,0.18
"12","^GSPTSE",0.15,0.26,0.15,0.13,0.15,0.16,0.2,0.19,0.025,0.16,0.25,0.23,0.23,0.23,0.25,0.21,0.12,0.11,0.019,0.16,0.14,0.18,0.11,0.14,0.17,0.1,0.071,0.2,0.2,0.21,-0.037,0.23,0.19,0.22,0.2,0.2,0.27,0.049,0.089,0.049,0.1,0.15,0.19,0.044,0.21,0.084,0.1,0.17,0.16,0.1,0.17,0.25,0.2,0.26,0.25,0.16,0.17,0.24,0.15,0.21,0.26,0.16,0.0026,0.13,0.23,0.094,0.19,0.097,0.097,0.13,0.12,0.17,-0.014,0.087,0.16,0.26,0.23,0.19,0.14,0.2,0.22,0.15,-0.16,0.12,-0.096,-0.069,0.27,0.18,0.12,0.2,0.24,0.23,0.18,0.18,0.21,0.13,0.24,0.21,0.26,0.13
"13","^IPSA",-0.023,-0.026,-0.041,-0.071,-0.091,-0.032,0.044,0.041,-0.0093,-0.0049,-0.034,0.04,-0.033,0.019,-0.093,0.035,0.017,-0.0052,-0.0033,-0.045,0.032,-0.031,-0.047,-0.086,-0.08,0.034,3e-04,-0.00091,0.11,-0.0062,-0.098,0.012,0.04,-0.0087,-0.019,0.04,-0.0039,-0.081,-0.039,0.075,-0.0064,-0.065,0.008,0.0048,-0.0011,0.085,0.1,-0.064,0.00075,-0.015,-0.014,-0.054,-0.017,-0.00068,-0.034,-0.02,-0.022,-0.0078,-0.055,-0.079,-0.017,-0.0073,-0.016,-0.076,0.018,0.09,0.0045,-0.027,0.067,0.0029,0.07,-0.02,-0.013,-0.064,-0.003,0.03,0.018,-0.007,-0.003,-0.05,-0.056,-0.052,-0.017,-0.041,0.035,-0.017,0.017,-0.04,-0.19,0.0055,0.011,-0.0087,0.0016,0.0099,-0.044,0.0089,0.0057,0.02,0.014,-0.047
"14","^IXIC",0.13,0.24,0.2,0.12,0.14,0.1,0.19,0.22,0.0039,0.2,0.24,0.24,0.21,0.24,0.29,0.21,0.063,0.073,0.037,0.17,0.19,0.16,0.15,0.19,0.18,0.096,0.057,0.25,0.22,0.27,-0.028,0.28,0.18,0.2,0.24,0.21,0.26,0.13,0.06,0.056,0.11,0.15,0.26,-0.025,0.21,-0.0048,-0.022,0.22,0.17,0.14,0.16,0.21,0.2,0.23,0.22,0.18,0.17,0.24,0.14,0.23,0.27,0.19,-0.0076,0.13,0.25,0.074,0.2,0.083,0.026,0.15,0.016,0.21,0.031,0.1,0.11,0.24,0.2,0.15,0.11,0.22,0.19,0.22,-0.15,0.15,-0.14,-0.064,0.27,0.22,0.099,0.21,0.18,0.16,0.23,0.21,0.22,0.11,0.27,0.23,0.28,0.2
